formula,param,seed,avg_edge_len,max_deg,n_edges
exp,0.01,142,13.7853,8,99
exp,0.01,1142,19.1281,10,99
exp,0.01,2142,19.3629,11,99
exp,0.01,3142,17.741,9,99
exp,0.01,4142,16.7899,7,99
exp,0.01,5142,15.5851,11,99
exp,0.01,6142,15.228,6,99
exp,0.01,7142,14.9256,5,99
exp,0.01,8142,13.965,6,99
exp,0.01,9142,15.5289,5,99
exp,0.01,10142,17.0763,6,99
exp,0.01,11142,14.8988,7,99
exp,0.01,12142,16.4315,7,99
exp,0.01,13142,15.5579,7,99
exp,0.01,14142,15.1135,7,99
exp,0.01,15142,19.9744,7,99
exp,0.01,16142,17.1654,7,99
exp,0.01,17142,15.2818,6,99
exp,0.01,18142,19.6268,12,99
exp,0.01,19142,18.033,7,99
exp,0.01,20142,15.8143,10,99
exp,0.01,21142,15.4653,5,99
exp,0.01,22142,14.239,6,99
exp,0.01,23142,15.0582,5,99
exp,0.01,24142,15.6148,6,99
exp,0.01,25142,14.7971,5,99
exp,0.01,26142,13.8324,7,99
exp,0.01,27142,18.1316,13,99
exp,0.01,28142,14.1081,8,99
exp,0.01,29142,16.9408,8,99
exp,0.01,30142,17.5051,7,99
exp,0.01,31142,16.3689,9,99
exp,0.01,32142,17.8575,6,99
exp,0.01,33142,16.7867,6,99
exp,0.01,34142,17.0738,6,99
exp,0.01,35142,14.7803,9,99
exp,0.01,36142,16.7039,7,99
exp,0.01,37142,16.7559,7,99
exp,0.01,38142,15.6671,6,99
exp,0.01,39142,16.6726,7,99
exp,0.01,40142,18.8145,6,99
exp,0.01,41142,13.8117,5,99
exp,0.01,42142,17.5337,8,99
exp,0.01,43142,18.1463,7,99
exp,0.01,44142,15.4736,9,99
exp,0.01,45142,18.299,9,99
exp,0.01,46142,18.2419,9,99
exp,0.01,47142,13.9587,5,99
exp,0.01,48142,18.0246,6,99
exp,0.01,49142,15.4251,6,99
exp,0.06,143,15.9032,5,99
exp,0.06,1143,17.3838,8,99
exp,0.06,2143,13.903,7,99
exp,0.06,3143,14.9316,6,99
exp,0.06,4143,14.0227,6,99
exp,0.06,5143,16.7835,5,99
exp,0.06,6143,13.0859,6,99
exp,0.06,7143,13.9905,7,99
exp,0.06,8143,13.4198,6,99
exp,0.06,9143,14.2712,6,99
exp,0.06,10143,12.6816,6,99
exp,0.06,11143,13.5093,7,99
exp,0.06,12143,16.173,6,99
exp,0.06,13143,16.2126,7,99
exp,0.06,14143,15.194,7,99
exp,0.06,15143,12.1818,7,99
exp,0.06,16143,15.9732,10,99
exp,0.06,17143,14.7636,7,99
exp,0.06,18143,14.5615,7,98
exp,0.06,19143,17.6117,6,99
exp,0.06,20143,13.936,7,99
exp,0.06,21143,15.2365,7,99
exp,0.06,22143,12.5758,8,99
exp,0.06,23143,15.3049,11,99
exp,0.06,24143,13.658,7,99
exp,0.06,25143,14.7124,6,99
exp,0.06,26143,15.66,8,99
exp,0.06,27143,16.114,6,99
exp,0.06,28143,14.4512,7,99
exp,0.06,29143,14.2297,6,99
exp,0.06,30143,14.7473,8,99
exp,0.06,31143,14.8017,6,99
exp,0.06,32143,13.6892,7,99
exp,0.06,33143,13.5784,6,99
exp,0.06,34143,12.4445,7,99
exp,0.06,35143,12.0499,5,99
exp,0.06,36143,14.7013,5,99
exp,0.06,37143,14.1944,6,99
exp,0.06,38143,16.0473,6,99
exp,0.06,39143,15.5555,10,99
exp,0.06,40143,17.7737,8,99
exp,0.06,41143,18.8118,7,99
exp,0.06,42143,14.2058,7,99
exp,0.06,43143,16.162,6,99
exp,0.06,44143,15.1978,9,99
exp,0.06,45143,12.2812,5,99
exp,0.06,46143,15.7905,8,99
exp,0.06,47143,13.6321,6,99
exp,0.06,48143,14.9888,10,99
exp,0.06,49143,12.3418,8,99
exp,0.15,144,13.8142,7,98
exp,0.15,1144,12.1739,5,96
exp,0.15,2144,14.6319,5,98
exp,0.15,3144,16.4895,7,98
exp,0.15,4144,12.1409,7,98
exp,0.15,5144,14.0183,6,99
exp,0.15,6144,14.9466,6,98
exp,0.15,7144,13.6321,6,97
exp,0.15,8144,12.9495,8,98
exp,0.15,9144,10.6019,6,97
exp,0.15,10144,11.267,5,99
exp,0.15,11144,17.1684,7,97
exp,0.15,12144,12.6468,9,99
exp,0.15,13144,15.2384,6,98
exp,0.15,14144,12.6338,7,98
exp,0.15,15144,15.1195,6,99
exp,0.15,16144,13.6041,8,96
exp,0.15,17144,12.6052,7,99
exp,0.15,18144,12.6816,6,98
exp,0.15,19144,13.0564,8,95
exp,0.15,20144,14.6033,7,96
exp,0.15,21144,13.2778,8,97
exp,0.15,22144,12.729,7,98
exp,0.15,23144,14.2183,7,97
exp,0.15,24144,13.6906,8,94
exp,0.15,25144,15.9323,7,98
exp,0.15,26144,13.8076,7,98
exp,0.15,27144,14.2818,9,98
exp,0.15,28144,13.2761,7,99
exp,0.15,29144,15.3367,6,97
exp,0.15,30144,12.6981,6,95
exp,0.15,31144,14.5216,6,98
exp,0.15,32144,11.4986,6,98
exp,0.15,33144,15.1854,6,96
exp,0.15,34144,13.9904,7,94
exp,0.15,35144,11.7015,6,98
exp,0.15,36144,12.4346,6,98
exp,0.15,37144,13.742,7,97
exp,0.15,38144,15.5,5,95
exp,0.15,39144,13.9767,6,99
exp,0.15,40144,16.1583,5,97
exp,0.15,41144,16.2629,8,97
exp,0.15,42144,12.013,7,99
exp,0.15,43144,13.8868,7,98
exp,0.15,44144,11.8199,7,98
exp,0.15,45144,17.4175,7,97
exp,0.15,46144,15.6133,6,97
exp,0.15,47144,13.3489,6,98
exp,0.15,48144,14.3975,5,98
exp,0.15,49144,11.6404,6,98
exp,0.4,145,12.2832,8,93
exp,0.4,1145,11.4436,7,95
exp,0.4,2145,11.6365,7,94
exp,0.4,3145,12.4242,6,95
exp,0.4,4145,11.2479,6,95
exp,0.4,5145,10.6505,5,93
exp,0.4,6145,9.6518,5,95
exp,0.4,7145,11.5744,9,93
exp,0.4,8145,11.3063,5,97
exp,0.4,9145,11.0177,6,97
exp,0.4,10145,12.3791,6,91
exp,0.4,11145,12.4646,7,98
exp,0.4,12145,12.3098,6,92
exp,0.4,13145,13.1774,5,91
exp,0.4,14145,10.8254,8,98
exp,0.4,15145,11.842,6,93
exp,0.4,16145,10.3075,8,96
exp,0.4,17145,13.4817,8,91
exp,0.4,18145,11.6278,7,93
exp,0.4,19145,12.5057,6,94
exp,0.4,20145,10.0217,6,98
exp,0.4,21145,10.5975,6,95
exp,0.4,22145,12.2143,6,95
exp,0.4,23145,12.5247,6,96
exp,0.4,24145,12.3531,6,98
exp,0.4,25145,10.2616,5,92
exp,0.4,26145,13.0395,6,92
exp,0.4,27145,10.6372,6,97
exp,0.4,28145,13.4411,5,95
exp,0.4,29145,12.8581,8,93
exp,0.4,30145,12.6634,8,90
exp,0.4,31145,13.8962,6,93
exp,0.4,32145,9.9448,6,93
exp,0.4,33145,13.8559,6,92
exp,0.4,34145,11.5765,6,96
exp,0.4,35145,11.8,5,97
exp,0.4,36145,10.9285,8,95
exp,0.4,37145,11.699,7,95
exp,0.4,38145,11.9515,6,95
exp,0.4,39145,10.2987,7,90
exp,0.4,40145,11.4792,5,97
exp,0.4,41145,10.4322,7,98
exp,0.4,42145,11.7093,5,89
exp,0.4,43145,11.7076,8,95
exp,0.4,44145,9.9435,8,94
exp,0.4,45145,12.2124,6,94
exp,0.4,46145,13.1824,7,91
exp,0.4,47145,10.6332,6,93
exp,0.4,48145,11.7045,6,96
exp,0.4,49145,11.6358,5,90
pow,0.3,242,55.5776,7,99
pow,0.3,1242,49.5914,11,99
pow,0.3,2242,41.3753,6,99
pow,0.3,3242,46.3181,7,99
pow,0.3,4242,52.4698,6,99
pow,0.3,5242,43.3693,9,99
pow,0.3,6242,47.8509,8,99
pow,0.3,7242,46.5727,8,99
pow,0.3,8242,48.9497,9,99
pow,0.3,9242,49.3505,11,99
pow,0.3,10242,45.8943,7,99
