param,seed,avg_edge_len,max_deg,n_edges
0.2,242,56.3536,6,99
0.2,1242,47.9833,6,99
0.2,2242,50.1149,6,99
0.2,3242,43.6654,6,99
0.2,4242,52.5739,6,99
0.2,5242,46.4846,6,99
0.2,6242,50.2886,6,99
0.2,7242,45.573,6,99
0.2,8242,52.1452,6,99
0.2,9242,48.5678,6,99
0.2,10242,51.5432,6,99
0.2,11242,46.9998,6,99
0.2,12242,41.4821,6,99
0.2,13242,49.5025,7,99
0.2,14242,47.6441,5,99
0.2,15242,47.42,6,99
0.2,16242,42.9466,6,99
0.2,17242,49.2712,7,99
0.2,18242,44.5239,6,99
0.2,19242,49.3795,7,99
0.2,20242,53.8271,7,99
0.2,21242,47.0404,6,99
0.2,22242,51.4454,6,99
0.2,23242,54.5114,6,99
0.2,24242,52.5335,6,99
0.2,25242,46.5825,6,99
0.2,26242,51.2449,6,99
0.2,27242,49.8934,5,99
0.2,28242,47.489,6,99
0.2,29242,51.3782,6,99
0.2,30242,51.9181,6,99
0.2,31242,48.7229,6,99
0.2,32242,51.4166,6,99
0.2,33242,50.0743,6,99
0.2,34242,49.4087,6,99
0.2,35242,50.4285,6,99
0.2,36242,50.332,6,99
0.2,37242,47.4755,6,99
0.2,38242,47.2058,6,99
0.2,39242,46.0956,7,99
0.2,40242,52.8461,6,99
0.2,41242,50.2054,6,99
0.2,42242,49.0527,6,99
0.2,43242,51.1191,6,99
0.2,44242,44.0578,6,99
0.2,45242,47.9864,6,99
0.2,46242,50.1114,6,99
0.2,47242,48.0828,5,99
0.2,48242,47.5375,6,99
0.2,49242,45.2055,6,99
0.9,243,45.3133,6,99
0.9,1243,42.1135,6,99
0.9,2243,36.228,6,99
0.9,3243,33.2145,6,99
0.9,4243,44.0787,6,99
0.9,5243,33.5979,6,99
0.9,6243,38.4265,6,99
0.9,7243,38.8116,7,99
0.9,8243,36.1155,6,99
0.9,9243,41.6982,6,99
0.9,10243,39.2937,6,99
0.9,11243,47.8906,6,99
0.9,12243,37.2019,6,99
0.9,13243,40.2642,6,99
0.9,14243,42.1987,6,99
0.9,15243,42.8093,6,99
0.9,16243,39.5239,6,99
0.9,17243,34.5829,6,99
0.9,18243,38.5519,6,99
0.9,19243,45.4748,6,99
0.9,20243,40.2257,5,99
0.9,21243,43.7685,6,99
0.9,22243,40.1334,6,99
0.9,23243,42.0723,6,99
0.9,24243,41.6775,7,99
0.9,25243,41.4978,6,99
0.9,26243,38.2492,6,99
0.9,27243,38.3375,5,99
0.9,28243,36.4544,6,99
0.9,29243,42.0007,6,99
0.9,30243,40.7617,6,99
0.9,31243,35.3844,6,99
0.9,32243,32.8843,6,99
0.9,33243,38.9027,6,99
0.9,34243,39.1709,6,99
0.9,35243,36.8656,6,99
0.9,36243,37.1127,5,99
0.9,37243,36.0024,6,99
0.9,38243,39.632,6,99
0.9,39243,40.1083,6,99
0.9,40243,41.3002,6,99
0.9,41243,39.9126,6,99
0.9,42243,47.4731,6,99
0.9,43243,40.267,6,99
0.9,44243,40.3287,6,99
0.9,45243,39.0538,6,99
0.9,46243,39.9115,6,99
0.9,47243,34.4052,6,99
0.9,48243,37.196,7,99
0.9,49243,37.7483,6,99
2.0,244,26.0015,4,50
2.0,1244,23.6724,5,50
2.0,2244,18.6573,4,50
2.0,3244,17.6576,5,50
2.0,4244,20.1895,5,50
2.0,5244,26.7947,6,50
2.0,6244,18.5985,6,50
2.0,7244,17.4199,6,50
2.0,8244,22.1064,6,50
2.0,9244,19.5876,5,50
2.0,10244,19.5665,5,50
2.0,11244,26.3579,5,50
2.0,12244,17.0944,5,50
2.0,13244,18.0122,4,50
2.0,14244,19.9831,5,50
2.0,15244,23.3471,4,50
2.0,16244,13.9739,6,50
2.0,17244,19.8528,4,50
2.0,18244,24.3371,5,50
2.0,19244,16.4378,4,50
2.0,20244,20.19,5,50
2.0,21244,22.2405,5,50
2.0,22244,18.7949,4,50
2.0,23244,20.664,4,50
2.0,24244,17.9775,4,50
2.0,25244,24.4363,5,50
2.0,26244,18.0188,5,50
2.0,27244,18.7099,5,50
2.0,28244,20.0821,5,50
2.0,29244,19.0099,4,50
2.0,30244,20.2824,6,50
2.0,31244,17.8273,5,50
2.0,32244,18.9445,6,50
2.0,33244,21.2493,4,50
2.0,34244,19.4556,4,50
2.0,35244,21.6446,6,50
2.0,36244,25.767,6,50
2.0,37244,16.9696,5,50
2.0,38244,17.478,5,50
2.0,39244,26.9782,6,50
2.0,40244,18.4795,6,50
2.0,41244,16.7948,3,50
2.0,42244,23.0081,5,50
2.0,43244,20.4643,5,50
2.0,44244,19.1171,5,50
2.0,45244,16.3923,5,50
2.0,46244,16.8491,5,50
2.0,47244,25.4701,6,50
2.0,48244,15.2521,6,50
2.0,49244,16.3912,5,50
4.0,245,17.0701,7,99
4.0,1245,16.9613,6,99
4.0,2245,17.1218,6,99
4.0,3245,15.1202,6,99
4.0,4245,17.3189,6,99
4.0,5245,19.0122,6,99
4.0,6245,19.717,6,99
4.0,7245,13.9037,6,99
4.0,8245,18.5981,6,99
4.0,9245,16.6835,6,99
4.0,10245,13.4261,6,99
4.0,11245,13.8289,5,99
4.0,12245,23.5003,6,99
4.0,13245,20.2127,6,99
4.0,14245,21.8425,6,99
4.0,15245,21.2302,6,99
4.0,16245,19.4468,6,99
4.0,17245,14.0078,6,99
4.0,18245,16.2308,6,99
4.0,19245,19.2703,6,99
4.0,20245,18.2381,6,99
4.0,21245,15.2383,6,99
4.0,22245,17.4864,6,99
4.0,23245,18.8417,6,99
4.0,24245,17.2231,6,99
4.0,25245,19.1111,6,99
4.0,26245,16.3095,6,99
4.0,27245,19.3769,6,99
4.0,28245,17.5625,6,99
4.0,29245,18.4943,6,99
4.0,30245,15.4574,6,99
4.0,31245,20.8866,6,99
4.0,32245,15.5624,6,99
4.0,33245,18.1059,6,99
4.0,34245,13.9545,6,99
4.0,35245,20.3277,6,99
4.0,36245,15.0285,6,99
4.0,37245,16.7917,6,99
4.0,38245,16.9726,6,99
4.0,39245,16.4143,6,99
4.0,40245,18.9548,6,99
4.0,41245,17.739,6,99
4.0,42245,16.0822,6,99
4.0,43245,17.7595,6,99
4.0,44245,14.3516,6,99
4.0,45245,17.657,6,99
4.0,46245,19.35,6,99
4.0,47245,16.5341,6,99
4.0,48245,19.0578,6,99
4.0,49245,15.199,6,99
